    0.0s  Demo started
    0.1s  Mac volume set to 30%
    0.2s  iPhone detected via USB
    0.2s  Launching VoiceAgent app on iPhone...
    0.3s  App launched on iPhone
    0.3s  Waiting 10s for START tap...
   10.4s  START tap window elapsed
   10.4s  Waiting for session init...
   13.4s  Beep countdown (3 beeps, 2s apart)
   19.8s  SESSION created: s-f1ca094a-f180-443c-8a10-1b75da85df97
   19.8s  WEBSOCKET connected
   20.0s  GEMINI session started
   23.1s  Beep countdown done, starting conversation
   23.1s  Starting conversation (5 turns)
   23.1s  SAY [Turn 1/5]: "Hello, there"
   24.6s  SAY done (1512ms)
   25.4s  GEMINI heard: "He"
   25.4s  GEMINI heard: "Hello there."
   26.4s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   30.7s  SAY [Turn 2/5]: "Can you help me check if I have time for a dinner at 6PM?"
   33.0s  GEMINI heard: "Can"
   33.2s  GEMINI heard: "Can you"
   33.4s  GEMINI heard: "Can you help"
   33.5s  GEMINI heard: "Can you help me"
   33.7s  GEMINI heard: "Can you help me check"
   33.8s  GEMINI heard: "Can you help me check if"
   34.1s  GEMINI heard: "Can you help me check if I"
   34.3s  GEMINI heard: "Can you help me check if I have"
   34.6s  GEMINI heard: "Can you help me check if I have time"
   34.6s  SAY done (3869ms)
   34.7s  GEMINI heard: "Can you help me check if I have time for"
   34.8s  GEMINI heard: "Can you help me check if I have time for a di"
   35.0s  GEMINI heard: "Can you help me check if I have time for a dinner"
   35.1s  GEMINI heard: "Can you help me check if I have time for a dinner at"
   35.2s  GEMINI heard: "Can you help me check if I have time for a dinner at 6:00 p.m."
   36.4s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   36.4s  AGENT dispatched: ellen — "Check calendar for availability for a dinner at 6:00 p.m. to"
   37.5s  MODERATOR audio enqueued: 44160 bytes (1.4s)
   42.8s  SAY [Turn 3/5]: "Ellen, walk me through yesterday's transaction anomalies"
   46.5s  SAY done (3723ms)
   47.1s  GEMINI heard: "."
   48.0s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   48.1s  AGENT dispatched: eva — "Analyze yesterday's financial transaction anomalies."
   49.2s  MODERATOR audio enqueued: 38400 bytes (1.2s)
   60.3s  AGENT done: ellen (TTS 6.6s, audio 11.5s)
   60.3s  AGENT audio enqueued: ellen 368696 bytes (11.5s)
   60.8s  SAY [Turn 4/5]: "hold on, just the top 3 by dollar amount, skip the details"
   65.4s  SAY done (4647ms)
   77.6s  SAY [Turn 5/5]: "flag the wire reversal and send me a one-liner on it"
   79.8s  GEMINI heard: "Flag"
   80.0s  GEMINI heard: "Flag the"
   80.2s  GEMINI heard: "Flag the wi"
   80.4s  GEMINI heard: "Flag the wire"
   80.5s  GEMINI heard: "Flag the wire re"
   80.7s  GEMINI heard: "Flag the wire revers"
   80.9s  GEMINI heard: "Flag the wire reversal"
   80.9s  SAY done (3320ms)
   81.0s  GEMINI heard: "Flag the wire reversal and"
   81.2s  GEMINI heard: "Flag the wire reversal and send"
   81.3s  GEMINI heard: "Flag the wire reversal and send me a"
   81.5s  GEMINI heard: "Flag the wire reversal and send me a one liner on it."
   83.0s  MODERATOR audio enqueued: 46080 bytes (1.4s)
   93.1s  Conversation done, waiting 15s for trailing responses...
  108.2s  Demo complete
